							Матриця інцидентності
	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	
V1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
V2	-5	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
V3	0	-12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
V4	0	0	0	-9	2	-12	0	0	0	0	0	0	0	0	-7	0	0	0	
V5	0	0	0	0	0	12	-8	0	0	0	0	0	0	0	0	-2	0	0	
V6	0	0	-2	0	0	0	8	5	-7	0	-6	0	0	0	0	0	0	0	
V7	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	
V8	0	0	0	0	0	0	0	0	0	-10	6	11	0	0	0	0	-4	0	
V9	0	0	0	0	0	0	0	0	0	0	0	-11	6	0	0	0	0	0	
V10	0	0	0	0	0	0	0	0	0	0	0	0	-6	5	0	0	0	-9	
V11	0	0	0	0	-2	0	0	0	0	0	0	0	0	-5	0	0	0	0	
V12	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	7	2	4	9	
